mfo_rnd,mfo_smt,o_rnd,o_smt
0.7367,0.7679,0.7381,0.7817
0.7397,0.765,0.7384,0.7889
0.7365,0.7723,0.7369,0.7813
0.7352,0.7678,0.7369,0.7871
0.7439,0.7714,0.7392,0.7925
0.7374,0.7649,0.7272,0.7782
0.7404,0.7607,0.7368,0.7846
0.7432,0.7662,0.7346,0.7804
0.7418,0.7682,0.74,0.7819
0.7285,0.7715,0.7297,0.7879
0.741,0.7667,0.7361,0.7871
0.7372,0.7654,0.7285,0.7826
0.7435,0.7721,0.7313,0.7834
0.7367,0.7704,0.7389,0.7849
0.7422,0.7666,0.7413,0.7847
0.7413,0.7724,0.7277,0.779
0.7361,0.7685,0.7249,0.7732
0.7346,0.7682,0.7373,0.7845
0.7279,0.7631,0.7436,0.7804
0.7407,0.7594,0.7324,0.7806
0.7484,0.7643,0.7408,0.7832
0.7387,0.7596,0.7394,0.7821
0.7361,0.775,0.7332,0.7805
0.7391,0.7689,0.7401,0.782
0.7396,0.7776,0.7341,0.7775
0.7376,0.7638,0.7355,0.7752
0.7461,0.7663,0.7344,0.7851
0.7449,0.7661,0.7436,0.7808
0.7449,0.7674,0.7344,0.7828
0.7374,0.7621,0.7437,0.7825
0.7393,0.7661,0.7342,0.7812
0.7387,0.7674,0.7342,0.7898
0.741,0.7685,0.733,0.78
0.7391,0.7678,0.7369,0.7803
0.7357,0.7627,0.7393,0.7825
0.7369,0.7618,0.7415,0.784
0.7434,0.7658,0.7348,0.7926
0.7408,0.7675,0.7353,0.775
0.7385,0.7675,0.7323,0.7855
0.7316,0.7682,0.7412,0.7829
0.7385,0.763,0.7375,0.7812
0.736,0.7679,0.7353,0.7935
0.736,0.7744,0.7297,0.7816
0.7357,0.7672,0.7258,0.7795
0.7439,0.768,0.7355,0.7808
0.7322,0.7742,0.7342,0.7827
0.7468,0.7704,0.729,0.7842
0.7421,0.7712,0.7342,0.7802
0.732,0.7688,0.7351,0.7855
0.7355,0.7707,0.7376,0.7846
0.732,0.7667,0.7344,0.7831
0.7455,0.7657,0.7352,0.7869
0.7408,0.7678,0.7397,0.7907
0.7413,0.7661,0.7336,0.7848
0.7336,0.7694,0.7387,0.7773
0.7457,0.7654,0.7409,0.7846
0.7334,0.7707,0.7338,0.779
0.7374,0.7606,0.7286,0.7842
0.7328,0.771,0.7392,0.7778
0.742,0.7717,0.7408,0.782
0.7388,0.7684,0.733,0.7863
0.7365,0.7674,0.7329,0.7866
0.7347,0.7685,0.7324,0.779
0.7405,0.7757,0.7335,0.7887
0.7335,0.7704,0.7468,0.7834
0.7331,0.7704,0.7431,0.7854
0.7329,0.767,0.7328,0.7863
0.7322,0.7677,0.7366,0.7804
0.7423,0.7696,0.7376,0.7802
0.7383,0.7677,0.7431,0.7811
0.7356,0.7724,0.739,0.7885
0.7305,0.767,0.7383,0.7826
0.7375,0.7768,0.7342,0.7798
0.7462,0.767,0.7357,0.7816
0.7346,0.7713,0.7346,0.7763
0.7409,0.7695,0.7378,0.7777
0.7315,0.7726,0.7346,0.7708
0.7354,0.7634,0.7438,0.7809
0.7343,0.7647,0.7351,0.7815
0.7419,0.7714,0.7361,0.7783
0.7345,0.764,0.7309,0.7853
0.7411,0.7697,0.7383,0.781
0.737,0.7637,0.7491,0.7817
0.7405,0.7663,0.7336,0.782
0.7422,0.764,0.7418,0.7752
0.7355,0.7782,0.7336,0.7791
0.7351,0.7673,0.7354,0.7767
0.7408,0.7702,0.7372,0.7831
