mfo_rnd,mfo_smt,o_rnd,o_smt
0.73833,0.77043,0.7365,0.7828
0.73812,0.77024,0.73666,0.78041
0.74128,0.76796,0.73699,0.78019
0.7385,0.76356,0.73494,0.78252
0.73787,0.7685,0.73571,0.78339
0.73845,0.7715,0.73807,0.78402
0.73628,0.76703,0.73661,0.78151
0.73684,0.76974,0.73594,0.78124
0.7388,0.76753,0.73481,0.78006
0.73703,0.76891,0.73893,0.78141
0.7399,0.77025,0.7353,0.77929
0.7378,0.77046,0.73686,0.78335
0.73772,0.77037,0.73594,0.78181
0.7377,0.76868,0.73504,0.78345
0.73767,0.7669,0.73707,0.78254
0.73911,0.77061,0.73564,0.7805
0.7378,0.7684,0.73461,0.78228
0.73681,0.76814,0.73713,0.78126
0.74007,0.76761,0.73602,0.77997
0.73841,0.76826,0.7374,0.78175
0.73894,0.77039,0.73966,0.78346
0.73654,0.7676,0.73286,0.78234
0.73874,0.76696,0.73528,0.78307
0.73722,0.76856,0.73483,0.7802
0.7374,0.76656,0.73451,0.78166
0.73823,0.76816,0.73839,0.78204
0.73741,0.76829,0.73577,0.78194
0.73531,0.77049,0.73888,0.78151
0.7378,0.76876,0.73676,0.78122
0.73795,0.76919,0.73494,0.78295
0.74207,0.76735,0.73696,0.7837
0.7408,0.76812,0.73832,0.78185
0.73951,0.76883,0.73489,0.78133
0.73703,0.76871,0.73581,0.78161
0.73962,0.76901,0.73834,0.78058
0.73757,0.76813,0.7353,0.78084
0.73766,0.76664,0.73647,0.78265
0.73901,0.76921,0.73689,0.77971
0.73989,0.76747,0.73429,0.78093
0.73741,0.76795,0.73563,0.78315
0.73859,0.76943,0.73572,0.78095
0.73719,0.77017,0.7366,0.77987
0.73968,0.76963,0.7395,0.78289
0.7388,0.77063,0.73644,0.78218
0.73761,0.76706,0.73516,0.78283
0.73754,0.76803,0.73751,0.78406
0.7376,0.76708,0.73466,0.78169
0.73796,0.76856,0.73507,0.78147
0.73761,0.76832,0.73392,0.78258
0.73657,0.76785,0.737,0.7817
0.73613,0.77034,0.73519,0.78221
0.73899,0.77078,0.73876,0.77928
0.7379,0.76861,0.73514,0.78389
0.73999,0.76709,0.73638,0.78266
0.73611,0.76748,0.73702,0.78226
0.73619,0.76794,0.73497,0.7851
0.74199,0.77128,0.73711,0.78279
0.73791,0.76639,0.73659,0.78094
0.74013,0.7704,0.73399,0.7824
0.73728,0.76744,0.73414,0.78207
0.7399,0.76905,0.73584,0.781
0.74047,0.76999,0.73584,0.78277
0.73609,0.76802,0.73445,0.78121
0.73908,0.76866,0.73922,0.78241
0.7389,0.76861,0.73785,0.78418
0.738,0.76859,0.7367,0.78102
0.73945,0.76616,0.7352,0.78111
0.73911,0.7688,0.73617,0.78383
0.73867,0.76777,0.73855,0.78237
0.74023,0.76892,0.73705,0.78225
0.73973,0.76845,0.73738,0.78141
0.73598,0.76662,0.73384,0.77945
0.73884,0.76744,0.73726,0.78114
0.7361,0.76528,0.73394,0.77991
0.73787,0.76664,0.73663,0.7807
0.73755,0.76868,0.73555,0.78115
0.73765,0.76758,0.73575,0.78186
0.73648,0.76867,0.73637,0.78147
0.73972,0.76951,0.73591,0.78098
0.73893,0.76686,0.73671,0.77971
0.73944,0.76984,0.73619,0.78145
0.7373,0.76914,0.73784,0.7805
0.73782,0.77276,0.73873,0.77978
0.73761,0.76867,0.73826,0.78147
0.73946,0.76909,0.73506,0.78112
0.73928,0.76988,0.73678,0.78098
0.73964,0.77068,0.73643,0.78177
0.73767,0.76876,0.73548,0.78257
